 Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

  You may contact the writer of this document at: ambientmine AT protonmail DOT com

NOTE: In this book/program 440hz is A6, not A4

Banjo, Contrabass

-12 Frets

S   4              3              1

3   Bb3  58.27047  D#3  77.78175  G#3  103.8262
4   B3   61.73541  E3   82.40689  A4   110
5   C3   65.40639  F3   87.30706  Bb4  116.5409
6   C#2  69.29566  F#3  92.49861  B4   123.4708
7   D3   73.41619  G3   97.99886  C4   130.8128
8   D#3  77.78175  G#3  103.8262  C#4  138.5913
9   E3   82.40689  A4   110       D4   146.8324
10  F3   87.30706  Bb4  116.5409  D#4  155.5635
11  F#3  92.49861  B4   123.4708  E4   164.8324
12  G3   97.99886  C4   130.8128  F4   174.6141
13  G#3  103.8262  C#4  138.5913  F#4  184.9972
14  A4   110       D4   146.8324  G4   195.9977
15  Bb4  116.5409  D#4  155.5635  G#4  207.6523
16  B4   123.4708  E4   164.8324  A5   220
17  C4   130.8128  F4   174.6141  Bb5  233.0819
18  C#4  138.5913  F#4  184.9972  B5   246.9417
19  D4   146.8324  G4   195.9977  C5   261.6256

+4 Frets

S   3              2              1

0   G#2  51.91309  C#3  69.29566  F#3  92.49861
1   A3   55        D3   73.41619  G3   97.99886
2   Bb3  58.27047  D#3  77.78175  G#3  103.8262
3   B3   61.73541  E3   82.40689  A4   110
4   C3   65.40639  F3   87.30706  Bb4  116.5409
5   C#2  69.29566  F#3  92.49861  B4   123.4708
6   D3   73.41619  G3   97.99886  C4   130.8128
7   D#3  77.78175  G#3  103.8262  C#4  138.5913
8   E3   82.40689  A4   110       D4   146.8324
9   F3   87.30706  Bb4  116.5409  D#4  155.5635
10  F#3  92.49861  B4   123.4708  E4   164.8324
11  G3   97.99886  C4   130.8128  F4   174.6141
12  G#3  103.8262  C#4  138.5913  F#4  184.9972
13  A4   110       D4   146.8324  G4   195.9977
14  Bb4  116.5409  D#4  155.5635  G#4  207.6523
15  B4   123.4708  E4   164.8324  A5   220
16  C4   130.8128  F4   174.6141  Bb5  233.0819
17  C#4  138.5913  F#4  184.9972  B5   246.9417
18  D4   146.8324  G4   195.9977  C5   261.6256
19  D#4  155.5635  G#4  207.6523  C#5  277.1826

+5 Frets

S   3              2              1

0   A3   55        D3   73.41619  G3   97.99886
1   Bb3  58.27047  D#3  77.78175  G#3  103.8262
2   B3   61.73541  E3   82.40689  A4   110
3   C3   65.40639  F3   87.30706  Bb4  116.5409
4   C#2  69.29566  F#3  92.49861  B4   123.4708
5   D3   73.41619  G3   97.99886  C4   130.8128
6   D#3  77.78175  G#3  103.8262  C#4  138.5913
7   E3   82.40689  A4   110       D4   146.8324
8   F3   87.30706  Bb4  116.5409  D#4  155.5635
9   F#3  92.49861  B4   123.4708  E4   164.8324
10  G3   97.99886  C4   130.8128  F4   174.6141
11  G#3  103.8262  C#4  138.5913  F#4  184.9972
12  A4   110       D4   146.8324  G4   195.9977
13  Bb4  116.5409  D#4  155.5635  G#4  207.6523
14  B4   123.4708  E4   164.8324  A5   220
15  C4   130.8128  F4   174.6141  Bb5  233.0819
16  C#4  138.5913  F#4  184.9972  B5   246.9417
17  D4   146.8324  G4   195.9977  C5   261.6256
18  D#4  155.5635  G#4  207.6523  C#5  277.1826
19  E4   164.8138  A5   220       D5   293.6648

+6 Frets

S   3              2              1

0   Bb3  58.27047  D#3  77.78175  G#3  103.8262
1   B3   61.73541  E3   82.40689  A4   110
2   C3   65.40639  F3   87.30706  Bb4  116.5409
3   C#2  69.29566  F#3  92.49861  B4   123.4708
4   D3   73.41619  G3   97.99886  C4   130.8128
5   D#3  77.78175  G#3  103.8262  C#4  138.5913
6   E3   82.40689  A4   110       D4   146.8324
7   F3   87.30706  Bb4  116.5409  D#4  155.5635
8   F#3  92.49861  B4   123.4708  E4   164.8324
9   G3   97.99886  C4   130.8128  F4   174.6141
10  G#3  103.8262  C#4  138.5913  F#4  184.9972
11  A4   110       D4   146.8324  G4   195.9977
12  Bb4  116.5409  D#4  155.5635  G#4  207.6523
13  B4   123.4708  E4   164.8324  A5   220
14  C4   130.8128  F4   174.6141  Bb5  233.0819
15  C#4  138.5913  F#4  184.9972  B5   246.9417
16  D4   146.8324  G4   195.9977  C5   261.6256
17  D#4  155.5635  G#4  207.6523  C#5  277.1826
18  E4   164.8138  A5   220       D5   293.6648
19  F4   174.6141  Bb5  233.0819  D#5  311.127

+7 Frets

S   4              3              2

0   B3   61.73541  E3   82.40689  A4   110
1   C3   65.40639  F3   87.30706  Bb4  116.5409
2   C#2  69.29566  F#3  92.49861  B4   123.4708
3   D3   73.41619  G3   97.99886  C4   130.8128
4   D#3  77.78175  G#3  103.8262  C#4  138.5913
5   E3   82.40689  A4   110       D4   146.8324
6   F3   87.30706  Bb4  116.5409  D#4  155.5635
7   F#3  92.49861  B4   123.4708  E4   164.8324
8   G3   97.99886  C4   130.8128  F4   174.6141
9   G#3  103.8262  C#4  138.5913  F#4  184.9972
10  A4   110       D4   146.8324  G4   195.9977
11  Bb4  116.5409  D#4  155.5635  G#4  207.6523
12  B4   123.4708  E4   164.8324  A5   220
13  C4   130.8128  F4   174.6141  Bb5  233.0819
14  C#4  138.5913  F#4  184.9972  B5   246.9417
15  D4   146.8324  G4   195.9977  C5   261.6256
16  D#4  155.5635  G#4  207.6523  C#5  277.1826
17  E4   164.8138  A5   220       D5   293.6648
18  F4   174.6141  Bb5  233.0819  D#5  311.127
19  F#4  184.9972  B5   246.9417  E5   329.6276

+8 Frets

S   3              2              1

0   C3   65.40639  F3   87.30706  Bb4  116.5409
1   C#2  69.29566  F#3  92.49861  B4   123.4708
2   D3   73.41619  G3   97.99886  C4   130.8128
3   D#3  77.78175  G#3  103.8262  C#4  138.5913
4   E3   82.40689  A4   110       D4   146.8324
5   F3   87.30706  Bb4  116.5409  D#4  155.5635
6   F#3  92.49861  B4   123.4708  E4   164.8324
7   G3   97.99886  C4   130.8128  F4   174.6141
8   G#3  103.8262  C#4  138.5913  F#4  184.9972
9   A4   110       D4   146.8324  G4   195.9977
10  Bb4  116.5409  D#4  155.5635  G#4  207.6523
11  B4   123.4708  E4   164.8324  A5   220
12  C4   130.8128  F4   174.6141  Bb5  233.0819
13  C#4  138.5913  F#4  184.9972  B5   246.9417
14  D4   146.8324  G4   195.9977  C5   261.6256
15  D#4  155.5635  G#4  207.6523  C#5  277.1826
16  E4   164.8138  A5   220       D5   293.6648
17  F4   174.6141  Bb5  233.0819  D#5  311.127
18  F#4  184.9972  B5   246.9417  E5   329.6276
19  G4   195.9977  C5   261.6256  F5   349.2282

+9 Frets

S   3              2              1

0   C#2  69.29566  F#3  92.49861  B4   123.4708
1   D3   73.41619  G3   97.99886  C4   130.8128
2   D#3  77.78175  G#3  103.8262  C#4  138.5913
3   E3   82.40689  A4   110       D4   146.8324
4   F3   87.30706  Bb4  116.5409  D#4  155.5635
5   F#3  92.49861  B4   123.4708  E4   164.8324
6   G3   97.99886  C4   130.8128  F4   174.6141
7   G#3  103.8262  C#4  138.5913  F#4  184.9972
8   A4   110       D4   146.8324  G4   195.9977
9   Bb4  116.5409  D#4  155.5635  G#4  207.6523
10  B4   123.4708  E4   164.8324  A5   220
11  C4   130.8128  F4   174.6141  Bb5  233.0819
12  C#4  138.5913  F#4  184.9972  B5   246.9417
13  D4   146.8324  G4   195.9977  C5   261.6256
14  D#4  155.5635  G#4  207.6523  C#5  277.1826
15  E4   164.8138  A5   220       D5   293.6648
16  F4   174.6141  Bb5  233.0819  D#5  311.127
17  F#4  184.9972  B5   246.9417  E5   329.6276
18  G4   195.9977  C5   261.6256  F5   349.2282
19  G#4  207.6523  C#5  277.1826  F#5  369.9944

+10 Frets

S   3              2              1

0   D3   73.41619  G3   97.99886  C4   130.8128
1   D#3  77.78175  G#3  103.8262  C#4  138.5913
2   E3   82.40689  A4   110       D4   146.8324
3   F3   87.30706  Bb4  116.5409  D#4  155.5635
4   F#3  92.49861  B4   123.4708  E4   164.8324
5   G3   97.99886  C4   130.8128  F4   174.6141
6   G#3  103.8262  C#4  138.5913  F#4  184.9972
7   A4   110       D4   146.8324  G4   195.9977
8   Bb4  116.5409  D#4  155.5635  G#4  207.6523
9   B4   123.4708  E4   164.8324  A5   220
10  C4   130.8128  F4   174.6141  Bb5  233.0819
11  C#4  138.5913  F#4  184.9972  B5   246.9417
12  D4   146.8324  G4   195.9977  C5   261.6256
13  D#4  155.5635  G#4  207.6523  C#5  277.1826
14  E4   164.8138  A5   220       D5   293.6648
15  F4   174.6141  Bb5  233.0819  D#5  311.127
16  F#4  184.9972  B5   246.9417  E5   329.6276
17  G4   195.9977  C5   261.6256  F5   349.2282
18  G#4  207.6523  C#5  277.1826  F#5  369.9944
19  A5   220       D5   293.6648  G5   391.9954

+11 Frets

S   3              2              1

0   D#3  77.78175  G#3  103.8262  C#4  138.5913
1   E3   82.40689  A4   110       D4   146.8324
2   F3   87.30706  Bb4  116.5409  D#4  155.5635
3   F#3  92.49861  B4   123.4708  E4   164.8324
4   G3   97.99886  C4   130.8128  F4   174.6141
5   G#3  103.8262  C#4  138.5913  F#4  184.9972
6   A4   110       D4   146.8324  G4   195.9977
7   Bb4  116.5409  D#4  155.5635  G#4  207.6523
8   B4   123.4708  E4   164.8324  A5   220
9   C4   130.8128  F4   174.6141  Bb5  233.0819
10  C#4  138.5913  F#4  184.9972  B5   246.9417
11  D4   146.8324  G4   195.9977  C5   261.6256
12  D#4  155.5635  G#4  207.6523  C#5  277.1826
13  E4   164.8138  A5   220       D5   293.6648
14  F4   174.6141  Bb5  233.0819  D#5  311.127
15  F#4  184.9972  B5   246.9417  E5   329.6276
16  G4   195.9977  C5   261.6256  F5   349.2282
17  G#4  207.6523  C#5  277.1826  F#5  369.9944
18  A5   220       D5   293.6648  G5   391.9954
