    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Mandolin (16 Frets) 96Hz, 293.7Hz, 440Hz, 659.3Hz

-15 Frets

    4              3              2              1

4   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
5   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
6   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
7   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
8   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
9   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
10  G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
11  A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
12  Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
13  B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
14  C4   130.8128  G5   391.9954  D6   587.3295  A7   880
15  C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
16  D4   146.8324  A6   440       E6   659.2551  B7   987.7666

-8 Frets

    4              3              2              1

0   B3   61.73541  F#4  184.9972  C#5  277.1826  G#5  415.3047
1   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
2   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
3   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
4   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
5   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
6   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
7   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
8   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
9   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
10  A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
11  Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
12  B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
13  C4   130.8128  G5   391.9954  D6   587.3295  A7   880
14  C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
15  D4   146.8324  A6   440       E6   659.2551  B7   987.7666
16  D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502

-7 Frets

    4              3              2              1

0   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
1   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
2   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
3   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
4   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
5   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
6   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
7   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
8   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
9   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
10  Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
11  B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
12  C4   130.8128  G5   391.9954  D6   587.3295  A7   880
13  C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
14  D4   146.8324  A6   440       E6   659.2551  B7   987.7666
