    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Bulgarian Tambura (24 Frets) (D4 G4 B5 E5)

-18 Frets

    4              3               2               1

21  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
22  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
23  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638
24  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833

-16 Frets

    4              3               2               1

0   Bb3  58.27047  D#3  77.78175   G3   97.99886   C4   130.8128
1   B3   61.73541  E3   82.40689   G#3  103.8262   C#4  138.5913
2   C3   65.40639  F3   87.30706   A4   110        D4   146.8324
3   C#3  69.29566  F#3  92.49861   Bb4  116.5409   D#4  155.5635
4   D3   73.41619  G3   97.99886   B4   123.4708   E4   164.8138
5   D#3  77.78175  G#3  103.8262   C4   130.8128   F4   174.6141
6   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
7   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
8   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
9   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
10  G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
11  A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
12  Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
13  B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
14  C4   130.8128  F4   174.6141   A5   220        D5   293.6648
15  C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
16  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
17  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
18  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
19  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
20  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
21  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
22  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638
23  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
24  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511

-15 Frets

    4              3               2               1

0   B3   61.73541  E3   82.40689   G#3  103.8262   C#4  138.5913
1   C3   65.40639  F3   87.30706   A4   110        D4   146.8324
2   C#3  69.29566  F#3  92.49861   Bb4  116.5409   D#4  155.5635
3   D3   73.41619  G3   97.99886   B4   123.4708   E4   164.8138
4   D#3  77.78175  G#3  103.8262   C4   130.8128   F4   174.6141
5   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
6   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
7   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
8   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
9   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
10  A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
11  Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
12  B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
13  C4   130.8128  F4   174.6141   A5   220        D5   293.6648
14  C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
15  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
16  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
17  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
18  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
19  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
20  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
21  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
22  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
23  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
24  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653

-14 Frets

    4              3               2               1

0   C3   65.40639  F3   87.30706   A4   110        D4   146.8324
1   C#3  69.29566  F#3  92.49861   Bb4  116.5409   D#4  155.5635
2   D3   73.41619  G3   97.99886   B4   123.4708   E4   164.8138
3   D#3  77.78175  G#3  103.8262   C4   130.8128   F4   174.6141
4   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
5   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
6   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
7   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
8   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
9   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
10  Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
11  B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
12  C4   130.8128  F4   174.6141   A5   220        D5   293.6648
13  C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
14  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
15  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
16  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
17  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
18  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
19  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
20  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
21  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
22  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
23  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
24  C5   261.6256  F5   349.2282   A6   440        D6   587.3295

-13 Frets

    4              3               2               1

0   C#3  69.29566  F#3  92.49861   Bb4  116.5409   D#4  155.5635
1   D3   73.41619  G3   97.99886   B4   123.4708   E4   164.8138
2   D#3  77.78175  G#3  103.8262   C4   130.8128   F4   174.6141
3   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
4   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
5   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
6   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
7   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
8   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
9   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
10  B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
11  C4   130.8128  F4   174.6141   A5   220        D5   293.6648
12  C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
13  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
14  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
15  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
16  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
17  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
18  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
19  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
20  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
21  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
22  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
23  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
24  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254

-12 Frets

    4              3               2               1

0   D3   73.41619  G3   97.99886   B4   123.4708   E4   164.8138
1   D#3  77.78175  G#3  103.8262   C4   130.8128   F4   174.6141
2   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
3   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
4   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
5   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
6   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
7   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
8   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
9   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
10  C4   130.8128  F4   174.6141   A5   220        D5   293.6648
11  C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
12  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
13  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
14  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
15  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
16  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
17  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
18  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
19  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
20  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
21  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
22  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
23  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254
24  D5   293.6648  G5   391.9954   B6   493.8833   E6   659.2551

-11 Frets

    4              3               2               1

0   D#3  77.78175  G#3  103.8262   C4   130.8128   F4   174.6141
1   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
2   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
3   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
4   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
5   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
6   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
7   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
8   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
9   C4   130.8128  F4   174.6141   A5   220        D5   293.6648
10  C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
11  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
12  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
13  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
14  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
15  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
16  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
17  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
18  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
19  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
20  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
21  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
22  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254
23  D5   293.6648  G5   391.9954   B6   493.8833   E6   659.2551
24  D#5  311.127   G#5  415.3047   C6   523.2511   F6   698.4565

-10 Frets

    4              3               2               1

0   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
1   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
2   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
3   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
4   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
5   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
6   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
7   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
8   C4   130.8128  F4   174.6141   A5   220        D5   293.6648
9   C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
10  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
11  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
12  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
13  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
14  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
15  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
16  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
17  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
18  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
19  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
20  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
21  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254
22  D5   293.6648  G5   391.9954   B6   493.8833   E6   659.2551
23  D#5  311.127   G#5  415.3047   C6   523.2511   F6   698.4565
24  E5   329.6276  A6   440        C#6  554.3653   F#6  739.9888

-9 Frets

    4              3               2               1

0   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
1   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
2   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
3   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
4   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
5   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
6   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
7   C4   130.8128  F4   174.6141   A5   220        D5   293.6648
8   C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
9   D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
10  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
11  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
12  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
13  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
14  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
15  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
16  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
17  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
18  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
19  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
20  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254
21  D5   293.6648  G5   391.9954   B6   493.8833   E6   659.2551
22  D#5  311.127   G#5  415.3047   C6   523.2511   F6   698.4565
23  E5   329.6276  A6   440        C#6  554.3653   F#6  739.9888
24  F5   349.2282  Bb6  466.1638   D6   587.3295   G6   783.9909

-8 Frets

    4              3               2               1

0   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
1   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
2   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
3   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
4   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
5   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
6   C4   130.8128  F4   174.6141   A5   220        D5   293.6648
7   C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
8   D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
9   D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
10  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
11  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
12  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
13  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
14  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
15  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
16  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
17  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
18  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
19  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254
20  D5   293.6648  G5   391.9954   B6   493.8833   E6   659.2551
21  D#5  311.127   G#5  415.3047   C6   523.2511   F6   698.4565
22  E5   329.6276  A6   440        C#6  554.3653   F#6  739.9888
23  F5   349.2282  Bb6  466.1638   D6   587.3295   G6   783.9909
24  F#5  369.9944  B6   493.8833   D#6  622.254    G#6  830.6094

-7 Frets

    4              3               2               1

0   G3   97.99886  C4   130.8128   E4   164.8138   A5   220
1   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
2   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
3   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
4   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
5   C4   130.8128  F4   174.6141   A5   220        D5   293.6648
6   C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
7   D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
8   D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
9   E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
10  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
11  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
12  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
13  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
14  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
15  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
16  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
17  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
18  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254
19  D5   293.6648  G5   391.9954   B6   493.8833   E6   659.2551
20  D#5  311.127   G#5  415.3047   C6   523.2511   F6   698.4565
21  E5   329.6276  A6   440        C#6  554.3653   F#6  739.9888
22  F5   349.2282  Bb6  466.1638   D6   587.3295   G6   783.9909
23  F#5  369.9944  B6   493.8833   D#6  622.254    G#6  830.6094
24  G5   391.9954  C6   523.2511   E6   659.2551   A6   880

-6 Frets

    4              3               2               1

0   G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
1   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
2   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
3   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
4   C4   130.8128  F4   174.6141   A5   220        D5   293.6648
5   C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
6   D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
7   D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
8   E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
9   F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
10  F#4  184.9972  B5   246.9417   D#5  311.127    G#5  415.3047
11  G4   195.9977  C5   261.6256   E5   329.6276   A6   440
12  G#4  207.6523  C#5  277.1826   F5   349.2282   Bb6  466.1638 
13  A5   220       D5   293.6648   F#5  369.9944   B6   493.8833
14  Bb5  233.0819  D#5  311.127    G5   391.9954   C6   523.2511 
15  B5   246.9417  E5   329.6276   G#5  415.3047   C#6  554.3653
16  C5   261.6256  F5   349.2282   A6   440        D6   587.3295
17  C#5  277.1826  F#5  369.9944   Bb6  466.1638   D#6  622.254
18  D5   293.6648  G5   391.9954   B6   493.8833   E6   659.2551
19  D#5  311.127   G#5  415.3047   C6   523.2511   F6   698.4565
20  E5   329.6276  A6   440        C#6  554.3653   F#6  739.9888
21  F5   349.2282  Bb6  466.1638   D6   587.3295   G6   783.9909
22  F#5  369.9944  B6   493.8833   D#6  622.254    G#6  830.6094
23  G5   391.9954  C6   523.2511   E6   659.2551   A6   880
24  G#5  415.3047  C#6  554.3653   F6   698.4565   Bb6  932.3275

-5 Frets

    4              3               2               1

0   A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
1   Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
2   B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
3   C4   130.8128  F4   174.6141   A5   220        D5   293.6648
4   C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
5   D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
