Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com
  
Banjo (5-string)

-12 Frets

    5               4               3               2               1

13  C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
14  D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
15  D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
16  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
17  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511
18  F#4  184.9972   C#5  277.1826   F#5  369.9944   Bb6  466.1638   C#6  554.3653
19  G4   195.9977   D5   293.6648   G5   391.9954   B6   493.8833   D6   587.3295

-6 Frets

    5               4               3               2               1

0   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
1   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
2   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
3   E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
4   F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
5   F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
6   G3   97.99886   D4   146.8324   G4   195.9977   B5   246.9417   D5   293.6648
7   G#3  103.8262   D#4  155.5635   G#4  207.6523   C5   261.6256   D#5  311.127
8   A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
9   Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
10  B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
11  C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
12  C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
13  D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
14  D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
15  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
16  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511
17  F#4  184.9972   C#5  277.1826   F#5  369.9944   Bb6  466.1638   C#6  554.3653
18  G4   195.9977   D5   293.6648   G5   391.9954   B6   493.8833   D6   587.3295
19  G#4  207.6523   D#5  311.127    G#5  415.3047   C6   523.2511   D#6  622.254

-5 Frets

    5               4               3               2               1

0   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
1   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
2   E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
3   F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
4   F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
5   G3   97.99886   D4   146.8324   G4   195.9977   B5   246.9417   D5   293.6648
6   G#3  103.8262   D#4  155.5635   G#4  207.6523   C5   261.6256   D#5  311.127
7   A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
8   Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
9   B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
10  C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
11  C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
12  D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
13  D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
14  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
15  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511
16  F#4  184.9972   C#5  277.1826   F#5  369.9944   Bb6  466.1638   C#6  554.3653
17  G4   195.9977   D5   293.6648   G5   391.9954   B6   493.8833   D6   587.3295
18  G#4  207.6523   D#5  311.127    G#5  415.3047   C6   523.2511   D#6  622.254
19  A5   220        E5   329.6276   A6   440        C#6  554.3653   E6   659.2551

-4 Frets

    5               4               3               2               1

0   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
1   E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
2   F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
3   F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
4   G3   97.99886   D4   146.8324   G4   195.9977   B5   246.9417   D5   293.6648
5   G#3  103.8262   D#4  155.5635   G#4  207.6523   C5   261.6256   D#5  311.127
6   A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
7   Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
8   B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
9   C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
10  C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
11  D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
12  D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
13  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
14  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511
15  F#4  184.9972   C#5  277.1826   F#5  369.9944   Bb6  466.1638   C#6  554.3653
16  G4   195.9977   D5   293.6648   G5   391.9954   B6   493.8833   D6   587.3295
17  G#4  207.6523   D#5  311.127    G#5  415.3047   C6   523.2511   D#6  622.254
